,estate,project,id
0,Rio de Janeiro,ProLibras RJ,27
1,Rio de Janeiro,Antologia de Poesias RJ,39
2,Rio de Janeiro,Inventário de Libras RJ,65
3,São Paulo,Prolibras SP,30
4,São Paulo,Antologia de Poesias SP,41
5,Santa Catarina,Libras Acadêmico,25
6,Santa Catarina,Exame Prolibras UFSC,26
7,Santa Catarina,Prolibras SC,34
8,Santa Catarina,Antologia de Poesias SC,38
9,Santa Catarina,Empréstimos Linguísticos,45
10,Santa Catarina,Inventário Libras,48
11,Santa Catarina,Antologia de Poesias SC,49
12,Santa Catarina,Surdos de Referências ,55
13,Rio Grande do Sul,Prolibras RS,28
14,Rio Grande do Sul,Antologia de Poesias RS,40
15,Paraná,Antologia de Poesias PR,47
16,Roraima,,
17,Acre,Toponímia dos sinais acreanos,66
18,Amapá,,
19,Rondônia,,
20,Mato Grosso,,
21,Goiás,Prolibras GO,29
22,Goiás,Prolibras GO,32
23,Goiás,Antologia de Poesias GO,52
24,Distrito Federal,Prolibras DF,37
25,Minas Gerais,Antologia de Poesias MG,42
26,Minas Gerais,Antologia de Poesias MG,53
27,Mato Grosso do Sul,,
28,Espírito Santo,,
29,Sergipe,Prolibras SE,36
30,Alagoas,Inventário de Libras Maceió,62
31,Pernambuco,Antologia de Poesias PB,51
32,Pernambuco,Antologia de Poesias PE,54
33,Paraíba,,
34,Rio Grande do Norte,Prolibras RN,35
35,Ceará,Inventário de Libras Fortaleza,64
36,Piauí,Prolibras PI,31
37,Piauí,Antologia de Poesias PI,50
38,Maranhão,,
39,,,
40,Bahia,Libras Acadêmico - BA,59
41,Tocantins,Inventário de Libras Palmas,63
42,Amazonas,,
